,Unnamed: 0,Countries,Status,2007Export,2007Import,2008Export,2008Import,2009Export,2009Import,2010Export,2010Import,2011Export,2011Import,2012Export,2012Import,2013Export,2013Import,2014Export,2014Import,2015Export,2015Import,2016Export,2016Import
0,0,Brunei Darussalam,Intra-ASEAN,2149511558.28,1043276218.54,2480394931.28,1200094778.44,1187066587.87,1255112067.84,1096169746.88,1234407237.19,1733545901.8,1548798686.07,2104147108.29,1603025635.11,2644351256.62,1843656602.89,2093000403.09,1767648750.6,1239487950.86,1405443372.04,1216841338.12,1290425299.13
1,1,Brunei Darussalam,Extra-ASEAN,5503729585.99,1053400289.4,7787569637.85,1306620663.83,5964903471.75,1195413075.53,7741009066.36,1202569438.32,10706961693.52,1393995624.84,11076453500.75,2071039282.85,8801222926.26,1768174533.06,8491140910.79,1828910471.1,5114436134.25,1832794860.9,3656949069.43,1379809110.98
2,2,Brunei Darussalam,World,7653241144.26,2096676507.95,10267964569.13,2506715442.26,7151970059.62,2450525143.37,8837178813.24,2436976675.51,12440507595.32,2942794310.91,13180600609.04,3674064917.96,11445574182.88,3611831135.96,10584141313.88,3596559221.7,6353924085.11,3238238232.94,4873790407.55,2670234410.11
3,3,Cambodia,Intra-ASEAN,251421813.55,1282970649.29,310619959.75,1599295843.17,644631792.82,1453267959.8,313480778.32,1676016522.33,416875059.34,2206649292.1,344533607.49,2765444686.76,526747575.44,2818248856.28,362196061.84,2915820513.29,689537414.38,4677335961.15,870181539.27,4613681441.87
4,4,Cambodia,Extra-ASEAN,3654112537.83,2392135133.29,4047922605.19,2817716506.66,4341165646.82,2447586041.53,3512421879.14,3099266744.68,4704183600.3,3892778887.59,4813665054.36,4701155967.3,6139117838.92,5393347454.57,6386467618.4,6743594197.66,7868172750.47,7120101941.71,9202947364.05,7757326754.41
5,5,Cambodia,World,3905534351.38,3675105782.58,4358542564.94,4417012349.83,4985797439.65,3900854001.33,3825902657.46,4775283267.02,5121058659.64,6099428179.69,5158198661.85,7466600654.06,6665865414.36,8211596310.85,6748663680.24,9659414710.95,8557710164.85,11797437902.86,10073128903.32,12371008196.28
6,6,Indonesia,Intra-ASEAN,22292114745.0,23792133688.0,27170819686.0,40991662181.0,24623898564.0,27742398273.0,33347510079.0,47124718198.0,42098872453.0,51300184712.0,41831097108.0,53823355864.0,40629958093.0,54030994802.0,39668109515.0,50903135935.0,33572259230.0,30032577328.0,33830310393.64,34817276950.0
7,7,Indonesia,Extra-ASEAN,91808776006.0,50681296430.0,109849604716.0,88205644043.0,91886093217.0,69086764303.0,124431593391.0,88538565850.0,161397753955.0,126135371024.0,148200748124.0,137866115663.0,141921840604.0,132597675078.0,136311877473.0,127275680670.0,116709997665.35,112662226895.0,111355900852.78,100835539551.0
8,8,Indonesia,World,114100890751.0,74473430118.0,137020424402.0,129197306224.0,116509991781.0,96829162576.0,157779103470.0,135663284048.0,203496626408.0,177435555736.0,190031845232.0,191689471527.0,182551798697.0,186628669880.0,175979986988.0,178178816605.0,150282256895.35,142694804223.0,145186211246.43,135652816501.0
9,9,Lao PDR,Intra-ASEAN,231943371.38,576491692.95,604274701.28,1490858342.32,997337786.08,1480796313.67,1151833526.07,1487740213.71,1039812503.01,1857230376.55,904677178.33,1684504271.04,1345553121.0,2617420361.61,1390791152.38,3486212513.81,1578003166.42,2778854105.52,1550739192.29,3052364153.09
10,10,Lao PDR,Extra-ASEAN,149932426.04,134642694.95,223436317.48,312369393.93,239819932.09,244183885.34,756911130.44,348894276.31,858209380.37,724865023.06,692458271.79,913017161.45,1642218675.0,934859448.28,1181409848.69,966166375.57,1407095098.52,999537548.57,1573437878.33,1054705010.67
11,11,Lao PDR,World,381875797.42,711134387.9,827711018.76,1803227736.24,1237157718.17,1724980199.01,1908744656.51,1836634490.03,1898021883.39,2582095399.61,1597135450.12,2597521432.49,2987771796.0,3552279809.89,2572201001.07,4452378889.38,2985098264.94,3778391654.09,3124177070.62,4107069163.76
12,12,Malaysia,Intra-ASEAN,45295626512.0,37315907584.0,50398915527.42,34675325050.89,40361510737.32,31700238134.19,50395722113.03,44716962166.13,56098290975.1,52173593883.09,60946905138.94,54869136966.74,63947537527.08,55021370383.9,65238638750.23,53726314944.76,56169117492.86,46678653993.46,55681072529.49,41411056843.14
13,13,Malaysia,Extra-ASEAN,130910012620.0,109594437989.0,144096995851.45,109623482965.47,116529360837.34,91630244912.35,148216418478.66,119905258230.49,171987725560.03,135299478014.36,166597172105.31,141529176209.02,164275857427.24,150774717916.34,168688710398.48,155124175916.63,142988823165.91,129332156022.0,133733270108.91,126981238742.93
14,14,Malaysia,World,176205639132.0,146910345573.0,194495911378.88,144298808016.36,156890871574.66,123330483046.54,198612140591.69,164622220396.63,228086016535.14,187473071897.45,227544077244.26,196398313175.76,228223394954.32,205796088300.23,233927349148.71,208850490861.39,199157940658.77,176010810015.45,189414342638.4,168392295586.07
15,15,Myanmar,Intra-ASEAN,3427734336.65,1413085709.04,3851548080.93,1728179618.7,3196418035.15,2065903077.04,4194081160.46,1980886113.14,4498592023.69,3919202697.79,4388465942.74,4003461076.99,5458821003.78,4752690224.81,4360031216.96,7094099798.19,4462331394.99,7005291678.05,3347985687.11,5909697912.88
16,16,Myanmar,Extra-ASEAN,2505648227.87,1376050656.56,2769011505.23,2066687282.73,3145044115.8,1783962663.64,3676987235.76,2014667515.57,2920312907.3,3894616732.88,3986349916.45,4794879346.84,5774069749.59,7289889842.3,6670610704.4,9131966728.99,7142841613.51,9838307470.61,8161343488.96,9785985066.3
17,17,Myanmar,World,5933382564.52,2789136365.6,6620559586.16,3794866901.43,6341462150.95,3849865740.68,7871068396.22,3995553628.71,7418904930.98,7813819430.67,8374815859.2,8798340423.83,11232890753.37,12042580067.11,11030641921.37,16226066527.17,11605173008.5,16843599148.66,11509329176.08,15695682979.18
18,18,Philippines,Intra-ASEAN,8031906316.0,12875119490.0,7081712225.0,14316678226.0,5838429441.0,11561073089.0,11557640365.0,16269810543.0,8635262829.0,15040316086.0,9804383326.0,14953913937.0,8614870247.0,14171352464.0,9211672966.0,16404431043.0,8536878729.0,17041970932.49,8400632626.0,22494822539.0
19,19,Philippines,Extra-ASEAN,42433817603.0,42638623731.0,41943679687.0,42328901693.0,32496226090.0,33972872643.0,39874063040.0,41958813440.0,39406930377.0,48669085477.0,42190854662.0,50432485043.0,45363397661.0,50959269513.0,52889946227.0,52300040239.0,50111498875.0,53144155973.45,47912256586.0,63440246658.0
20,20,Philippines,World,50465723919.0,55513743221.0,49025391912.0,56645579919.0,38334655531.0,45533945732.0,51431703405.0,58228623983.0,48042193206.0,63709401563.0,51995237988.0,65386398980.0,53978267908.0,65130621977.0,62101619193.0,68704471282.0,58648377604.0,70186126905.94,56312889212.0,85935069197.0
21,21,Singapore,Intra-ASEAN,95553839497.05,66629309973.46,109914854864.29,75141836022.05,82340968312.13,59158001238.91,107672854603.1,74924562386.01,133868287832.42,78501014709.52,133723672160.89,80234242252.49,137946095741.86,78181435370.99,130198685479.34,75770075100.4,107802942469.9,64874516767.13,99374897452.76,62733153997.24
22,22,Singapore,Extra-ASEAN,205744567393.67,197722089975.45,229960305383.09,246783742145.89,187804332966.66,187232119040.22,245569756897.83,238150892414.59,282333763405.23,294051647097.16,281890275042.53,305583767926.37,281990626460.14,309870503184.92,285179152722.73,302144731903.2,250102916436.48,243223386823.76,238708278088.49,229176248955.73
23,23,Singapore,World,301298406890.72,264351399948.91,339875160247.38,321925578167.94,270145301278.79,246390120279.13,353242611500.93,313075454800.6,416202051237.65,372552661806.68,415613947203.42,385818010178.85,419936722202.0,388051938555.91,415377838202.07,377914807003.59,357905858906.38,308097903590.89,338083175541.25,291909402952.97
24,24,Thailand,Intra-ASEAN,32894236713.0,24992537194.2,39487047265.09,29888246464.02,32490608008.0,26759515762.0,44317939586.97,32642972506.79,54044916355.1,39463053650.23,56730467212.03,42805040504.91,59320500621.55,44348135720.97,59425801805.88,43299451799.45,55165005681.54,41071823682.71,54656995421.3,39601637582.66
25,25,Thailand,Extra-ASEAN,120676889455.0,114973142805.8,135479612238.22,147679275246.98,120006594581.0,107010123047.0,148980202354.23,150284146356.24,168534207222.36,189316395717.69,172798810974.17,204967579195.4,169409723517.58,205168986631.12,168147779779.92,184652848185.43,159231229182.56,161679340207.84,160669628629.45,155065900831.23
26,26,Thailand,World,153571126168.0,139965680000.0,174966659503.31,177567521711.0,152497202589.0,133769638809.0,193298141941.2,182927118863.02,222579123577.46,228779449367.92,229529278186.21,247772619700.31,228730224139.12,249517122352.09,227573581585.8,227952299984.88,214396234864.1,202751163890.55,215326624050.75,194667538413.89
27,27,Viet Nam,Intra-ASEAN,7730837413.15,15444465013.44,10017790975.81,19476777995.45,8554799400.97,13566691838.82,10350948467.43,16407519973.25,13583279292.77,20910169169.1,17072818323.26,20874551951.93,18178909656.43,21352952928.71,18260518404.49,22537137379.46,18063708960.85,23827404372.35,17289055326.77,23870059513.45
28,28,Viet Nam,Extra-ASEAN,40558080793.6,46249094159.34,51760056295.01,60102394701.74,48136232314.71,55664186168.68,61885714671.38,68431031870.27,83322394684.23,85839684407.9,97437915377.74,92407991386.23,114485184543.07,110756915988.29,129830982208.54,123148444872.15,143950143075.15,141902493322.65,159286022499.75,150593360907.56
29,29,Viet Nam,World,48288918206.75,61693559172.78,61777847270.82,79579172697.19,56691031715.68,69230878007.49,72236663138.82,84838551843.52,96905673977.0,106749853577.0,114510733701.0,113282543338.16,132664094199.5,132109868917.0,148091500613.03,145685582251.61,162013852036.0,165729897695.0,176575077826.52,174463420421.0
