,Unnamed: 0,countries,2010Export,2010Import,2011Export,2011Import,2012Export,2012Import,2013Export,2013Import,2014Export,2014Import,2015Export,2015Import,2016Export,2016Import
0,0, Brunei Darussalam,460.5,1267.3,500.6,1817.4,482.7,2639.9,492.8,2857.5,557.8,2190.2,650.6,1657.6,530.5,1644.6
1,1, Cambodia,2028.46,980.24,2730.12,1329.75,3192.12,1535.19,3493.72,1762.82,3810.81,1883.02,3954.73,1903.77,4458.29,1951.65
2,2, Indonesia,16670.51,26460.99,21888.15,31691.43,23660.24,34224.42,22944.07,35014.56,23530.91,33540.63,22220.87,30917.54,23478.2,30521.33
3,3, Lao PDR,511.0,263.12,549.66,321.64,643.35,382.82,780.43,534.01,764.46,496.98,844.06,642.44,830.97,619.17
4,4, Malaysia,33822.79,31833.54,38879.26,38402.9,40629.38,43398.32,41981.06,45016.09,41967.34,45232.26,34847.13,40129.83,35270.61,39872.59
5,5, Myanmar,350.7,729.2,700.9,1100.0,1040.5,1322.8,1622.8,1475.0,3127.6,2263.5,3853.5,2437.7,3779.4,2899.5
6,6, Philippines,17782.0,12017.0,18878.0,12316.0,20439.2,14260.5,23335.16,16320.39,25498.09,20921.61,29065.05,23610.21,31357.24,24232.73
7,7, Singapore,100832.2,101212.69,119253.76,118254.55,127361.69,130885.41,139687.29,147062.65,153398.23,159414.57,148601.25,154507.71,149647.12,155585.88
8,8, Thailand,34339.83,41333.32,41544.63,46097.41,49722.26,45671.41,58776.41,47402.11,55535.73,45247.27,61758.77,42518.31,65244.58,42778.43
9,9, Viet Nam,7417.0,9857.0,8653.2,11804.0,9577.0,10995.0,10664.0,13782.0,11002.0,14958.0,11195.0,16100.0,12228.0,16477.0
